ProductKey;ProductAlternateKey;Category;Subcategory;Name;Cost;Continued;SafetyStockLevel;ListPrice;DealerPrice;Class;Style;ModelName;EnglishDescription;Status
1;AR-5381;NULL;NULL;Adjustable Race;NULL;0;1000;NULL;NULL;NULL;NULL;NULL;NULL;Current
2;BA-8327;NULL;NULL;Bearing Ball;NULL;0;1000;NULL;NULL;NULL;NULL;NULL;NULL;Current
3;BE-2349;NULL;NULL;BB Ball Bearing;NULL;0;800;NULL;NULL;NULL;NULL;NULL;NULL;Current
4;BE-2908;NULL;NULL;Headset Ball Bearings;NULL;0;800;NULL;NULL;NULL;NULL;NULL;NULL;Current
5;BL-2036;NULL;NULL;Blade;NULL;0;800;NULL;NULL;NULL;NULL;NULL;NULL;Current
6;CA-5965;NULL;NULL;LL Crankarm;NULL;0;500;NULL;NULL;"L ";NULL;NULL;NULL;Current
7;CA-6738;NULL;NULL;ML Crankarm;NULL;0;500;NULL;NULL;"M ";NULL;NULL;NULL;Current
8;CA-7457;NULL;NULL;HL Crankarm;NULL;0;500;NULL;NULL;NULL;NULL;NULL;NULL;Current
9;CB-2903;NULL;NULL;Chainring Bolts;NULL;0;1000;NULL;NULL;NULL;NULL;NULL;NULL;Current
10;CN-6137;NULL;NULL;Chainring Nut;NULL;0;1000;NULL;NULL;NULL;NULL;NULL;NULL;Current
11;CR-7833;NULL;NULL;Chainring;NULL;0;1000;NULL;NULL;NULL;NULL;NULL;NULL;Current
12;CR-9981;NULL;NULL;Crown Race;NULL;0;1000;NULL;NULL;NULL;NULL;NULL;NULL;Current
13;CS-2812;NULL;NULL;Chain Stays;NULL;0;1000;NULL;NULL;NULL;NULL;NULL;NULL;Current
14;DC-8732;NULL;NULL;Decal 1;NULL;0;1000;NULL;NULL;NULL;NULL;NULL;NULL;Current
15;DC-9824;NULL;NULL;Decal 2;NULL;0;1000;NULL;NULL;NULL;NULL;NULL;NULL;Current
16;DT-2377;NULL;NULL;Down Tube;NULL;0;800;NULL;NULL;NULL;NULL;NULL;NULL;Current
17;EC-M092;NULL;NULL;Mountain End Caps;NULL;0;1000;NULL;NULL;NULL;NULL;NULL;NULL;Current
18;EC-R098;NULL;NULL;Road End Caps;NULL;0;1000;NULL;NULL;NULL;NULL;NULL;NULL;Current
